SUBID,month_id,watch_date,watch_time,month,day_name,day_type,month_Name,Tv_Channel,Time_of_day,Duration,Usage_level,hour_of_day,Region,Age,Age_Group,Email_flag,Social_Media_flag,Gender,Race
810558,2016-02-26,2016-02-26,08:07:00,2016-02,Fri,weekday,Feb,Supersport Live Events,02 morning,00:31:58,05 extreme usage:>2 hrs,8,Northern Cape,30,youth,1,1,male,white
780650,2016-01-21,2016-01-21,12:51:00,2016-01,Thu,weekday,Jan,SuperSport Blitz,03 afternoon,00:08:10,05 extreme usage:>2 hrs,12,Mpumalanga,41,adult,1,1,male,black
780650,2016-01-14,2016-01-14,18:54:00,2016-01,Thu,weekday,Jan,SuperSport Blitz,04 evening,00:05:36,05 extreme usage:>2 hrs,18,Mpumalanga,41,adult,1,1,male,black
780650,2016-01-07,2016-01-07,14:31:00,2016-01,Thu,weekday,Jan,SuperSport Blitz,03 afternoon,00:00:58,05 extreme usage:>2 hrs,14,Mpumalanga,41,adult,1,1,male,black
867915,2016-03-14,2016-03-14,09:23:00,2016-03,Mon,weekday,Mar,Supersport Live Events,02 morning,00:02:30,05 extreme usage:>2 hrs,9,Gauteng,46,adult,1,1,male,black
867915,2016-03-03,2016-03-03,10:32:00,2016-03,Thu,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:27:52,05 extreme usage:>2 hrs,10,Gauteng,46,adult,1,1,male,black
867915,2016-01-08,2016-01-08,13:26:00,2016-01,Fri,weekday,Jan,Supersport Live Events,03 afternoon,00:03:46,05 extreme usage:>2 hrs,13,Gauteng,46,adult,1,1,male,black
867915,2016-01-01,2016-01-01,06:20:00,2016-01,Fri,weekday,Jan,Africa Magic,02 morning,00:01:33,05 extreme usage:>2 hrs,6,Gauteng,46,adult,1,1,male,black
867915,2016-01-06,2016-01-06,10:21:00,2016-01,Wed,weekday,Jan,Supersport Live Events,02 morning,00:01:50,05 extreme usage:>2 hrs,10,Gauteng,46,adult,1,1,male,black
867915,2016-03-09,2016-03-09,11:11:00,2016-03,Wed,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:04:12,05 extreme usage:>2 hrs,11,Gauteng,46,adult,1,1,male,black
867915,2016-03-03,2016-03-03,06:02:00,2016-03,Thu,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:15:08,05 extreme usage:>2 hrs,6,Gauteng,46,adult,1,1,male,black
378123,2016-01-03,2016-01-03,08:13:00,2016-01,Sun,weekday,Jan,Boomerang,02 morning,00:00:49,05 extreme usage:>2 hrs,8,None,0,infant,1,1,None,None
1109229,2016-03-08,2016-03-08,07:58:00,2016-03,Tue,weekday,Mar,Trace TV,02 morning,00:04:42,05 extreme usage:>2 hrs,7,Western Cape,25,youth,1,1,male,coloured
1109229,2016-03-23,2016-03-23,08:30:00,2016-03,Wed,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:00:40,05 extreme usage:>2 hrs,8,Western Cape,25,youth,1,1,male,coloured
1109229,2016-03-19,2016-03-19,03:00:00,2016-03,Sat,weekday,Mar,Trace TV,01 midnight,00:02:57,05 extreme usage:>2 hrs,3,Western Cape,25,youth,1,1,male,coloured
1109229,2016-03-20,2016-03-20,15:08:00,2016-03,Sun,weekday,Mar,Supersport Live Events,03 afternoon,00:00:14,05 extreme usage:>2 hrs,15,Western Cape,25,youth,1,1,male,coloured
1109229,2016-03-28,2016-03-28,09:55:00,2016-03,Mon,weekday,Mar,Boomerang,02 morning,00:04:11,05 extreme usage:>2 hrs,9,Western Cape,25,youth,1,1,male,coloured
1109229,2016-03-27,2016-03-27,19:03:00,2016-03,Sun,weekday,Mar,Cartoon Network,04 evening,00:00:45,05 extreme usage:>2 hrs,19,Western Cape,25,youth,1,1,male,coloured
810560,2016-02-19,2016-02-19,08:57:00,2016-02,Fri,weekday,Feb,Supersport Live Events,02 morning,00:01:14,05 extreme usage:>2 hrs,8,Gauteng,47,adult,1,1,male,black
810560,2016-02-20,2016-02-20,19:06:00,2016-02,Sat,weekday,Feb,Supersport Live Events,04 evening,00:00:48,05 extreme usage:>2 hrs,19,Gauteng,47,adult,1,1,male,black
810560,2016-02-19,2016-02-19,10:17:00,2016-02,Fri,weekday,Feb,Trace TV,02 morning,00:06:39,05 extreme usage:>2 hrs,10,Gauteng,47,adult,1,1,male,black
810560,2016-02-21,2016-02-21,20:57:00,2016-02,Sun,weekday,Feb,SuperSport Blitz,04 evening,00:01:50,05 extreme usage:>2 hrs,20,Gauteng,47,adult,1,1,male,black
811332,2016-02-23,2016-02-23,20:16:00,2016-02,Tue,weekday,Feb,Supersport Live Events,04 evening,00:01:44,05 extreme usage:>2 hrs,20,Gauteng,39,adult,1,1,male,coloured
811332,2016-02-23,2016-02-23,13:59:00,2016-02,Tue,weekday,Feb,SuperSport Blitz,03 afternoon,00:05:26,05 extreme usage:>2 hrs,13,Gauteng,39,adult,1,1,male,coloured
811332,2016-02-23,2016-02-23,21:16:00,2016-02,Tue,weekday,Feb,ICC Cricket World Cup 2011,04 evening,00:00:38,05 extreme usage:>2 hrs,21,Gauteng,39,adult,1,1,male,coloured
